Cast,name,depth,sampletype,volume,filterdiameter,filterporesize,longitude,latitude,datetime_gmt
simz2013c19,,12,vertical net tow,6.64,,200.0,-121.927,36.9503333,2013-10-22T15:38:01
simz2013c20,,35,vertical net tow,12.96,,200.0,-121.987,36.889,2013-10-22T18:32:21
simz2013c21,,32,vertical net tow,14.04,,200.0,-121.9101667,36.8805,2013-10-22T20:28:43
simz2013c22,,16,vertical net tow,7.01,,200.0,-121.8795,36.9105,2013-10-22T22:25:37
simz2013c23,,14,vertical net tow,6.64,,200.0,-121.927,36.9503333,2013-10-23T14:52:30
simz2013c24,,32,vertical net tow,12.96,,200.0,-121.998,36.9023333,2013-10-23T17:08:27
simz2013c25,,25,vertical net tow,9.12,,200.0,-121.9606667,36.9203333,2013-10-23T18:40:31
simz2013c26,,30,vertical net tow,14.04,,200.0,-121.9115,36.8786667,2013-10-23T20:06:37
simz2013c27,,14,vertical net tow,6.64,,200.0,-121.9305,36.9488333,2013-10-24T14:44:30
simz2013c28,,24,vertical net tow,9.12,,200.0,-121.966,36.9236667,2013-10-24T16:05:32
simz2013c29,,31,vertical net tow,12.96,,200.0,-122.0041667,36.9003333,2013-10-24T18:00:03
simz2013c30,,32,vertical net tow,14.04,,200.0,-121.9181667,36.8846667,2013-10-24T19:37:31
simz2013c31,,15,vertical net tow,7.01,,200.0,-121.881,36.9128333,2013-10-24T20:55:45
simz2013c32,,15,vertical net tow,6.64,,200.0,-121.9308333,36.9486667,2013-10-25T14:51:16
simz2013c33,,25,vertical net tow,9.12,,200.0,-121.9701667,36.9248333,2013-10-25T16:14:43
simz2013c34,,32,vertical net tow,12.96,,200.0,-121.9966667,36.8985,2013-10-25T17:55:37
simz2013c35,,32,vertical net tow,13.50,,200.0,-121.9525,36.8528333,2013-10-25T19:47:35
simz2013c36,,32,vertical net tow,14.04,,200.0,-121.9121667,36.8788333,2013-10-25T21:34:28
